video,condition,detection_quality,issues,avg_confidence
1,Night,Main drone detected,Many false positives,0.62
2,Day,Poor detection quality,False positives on humans,0.42
3,Day,Some drones detected for limited time,Many false positives; drones missed when background is present,0.59
4,Day,Drone detected when there is no background,Many false positives,0.43
5,Evening,Some drones detected,False positives; small branches identified as drones,0.53
6,Day,Drone detected only up close and with a clear background,Many false positives,0.43
7,Evening,One drone detected,False positives on building top pole and trees; another drone ignored,0.51
8,Evening,Drone detected in clear sky,False positives occur constantly; drone detection ignored in some parts,0.59
9,Night with heavy background lighting,Best result among local clips,False positives still occurred,0.67
10,Night,One main drone detected,Another drone ignored; false positives on humans,0.49
11,Night,Main drone detected,Detection missed at far range; many false positives,0.62
